sha256	size_bytes	path
55c80596de4d8b622d0c1227e03e30e4b99ef22d3b9a3e0078ce6b5f0d84e3b7	2097152	03G906021QJ_ideal_stage1_dpf_egr_off.bin
d8296554b0342a9a4eb1ca0af0a17ccbbecc066349907448213ea6179ad2bfe0	2097152	03G906021QJ_stage1_full_power_dpf_egr_off.bin
a517affa3f89bf2ba188a84c6b6810b20f61fa297de4917e99cba5f1f18e2b44	2097152	03G906021QJ_stage1_refined_CS_OK.bin
48c8f368b5ce26cd920e3e2dcc7be20762d0ab69684504843f2e23ebb0c56fe8	2097152	03G906021QJ_stage1_refined_dpf_egr_off.bin
8b89f03b05e73a1f11c7a680350b92ad4d92a4cf14978d8ef02daf6185543c05	20716	START-HERE.md
835415e1430e4892f3469fdaf69ae2194804120ac10ec75695f0cfc70b306198	1223	amtflash.cer
be6c17251d59459e9cc855d8e5e799f15fd17fedf4508fa4933fac2e1da20b39	1344	analyze_log.py
94127479605321172a06cb4d79cd73911ec42500a4f2e705c4d4fc2904575b5e	725	analyze_other_logs.py
1babfcf0bb5c210a54b6aa66a7add4dc5bbdd644ec5f45a14cd7afb093e8a061	3809	astra_prompt.md
c4cc1b9a435338c5e1f03cad9845a1417a2905edd06f5f138c0d4e0620285de0	4511	bruteforce_vcds.py
ef4a56e54e2701e69a492c01325122665c5f7bb5c4a24ce70edfa64549035d08	445	check_diffs.py
1992b4d2332948f3c229eefdc88cfee908aa660429a5f7b9f483d5f8d9375774	875	check_dpf_diffs.py
4531b66d9ceb60057d796561b832e33b4c8201a1b9c426698ec09d01b0ca2065	207	check_usb.py
3c0588b091ca281d03bb5f30e227a522e929616420d558a5b215834e6f3c00fd	26046	chronological_session.txt
6855528ffbe0f543a0af3d5b9c4c0dd7030db65f32c464d5ca2651d426ca7de1	700015	conversation_history/FULL_CONVERSATION_HISTORY.html
5609506174fc178ed63c0db70e07e583536959cd065c5d7febbd75cad8866106	661417	conversation_history/FULL_CONVERSATION_HISTORY.md
feed39e3cae794e0351db9be02c667c537a37758cd3f15e4eb5794b6af850b4d	9186736	conversation_history/transcript_compact.jsonl
3e625263326c42251fdcd9fe288717645d5fa092d2f91dd13267f694a3905b2e	12293752	conversation_history/transcript_full.jsonl
fcc338a25763d8bf76b6e9bcd22fc2b8690c6d8ed6e57bcc55f82b03c21f33bf	4145107	diagnostic-review/a2l-characteristics-index.json
4f144a2e35c92218fa5ba93b9a290dcac42838976a376a499dc55ad6f90491ac	24584	diagnostic-review/active-map-verification.json
22b5c1486449f7e2cfaf46b142b6df4a3565e4c0eb3659bd927bb37235987690	7972	diagnostic-review/binary-comparison.json
9acbca17f036c26829147f2a33cfad98f271b1f38c504cfc270d01db92dd9dd8	24061	diagnostic-review/calibration-enhancements-deep-audit-2026-09-11.md
55c80596de4d8b622d0c1227e03e30e4b99ef22d3b9a3e0078ce6b5f0d84e3b7	2097152	diagnostic-review/deep-audit/03G906021QJ_ideal_stage1_dpf_egr_off.bin
29b5f585c78973046a9cf2161c86eda9f1541d8066e481c93ce4eda746c2e492	2097152	diagnostic-review/deep-audit/03G906021QJ_stage1-preserving-dpf-egr-off.review.bin
c41a1b3eb0b50d8944a0932f2cf0bb904548e0b416559c0232d5f9c17c086b81	2097152	diagnostic-review/deep-audit/03G906021QJ_stage1-preserving-restore-duration.review.bin
6998901596bc409cf5b31a3e35a389c1a1e172a802071cbfef2823d82105b6f6	20620	diagnostic-review/deep-audit/FINDINGS-AND-REPAIR.md
b29b57a616b7cf19fea47751355545b6e5986bca83d2e1948826fbfc96356883	17807	diagnostic-review/deep-audit/LUNA-REVIEW-FINAL.md
9dd71a5e93bbffb21b126535c75c03078c7cc7dba3d59bbf34d8fa51f1574908	246859	diagnostic-review/deep-audit/coolant-threshold-audit.json
f7e961c8094657cfa66ddbc02d4fffba9a6735993992863fef953f2a035cc4fc	3280	diagnostic-review/deep-audit/ideal-stage1-manifest.json
4c16b1fcd3382791168c3410bbe8b57e0260998736940c04b896542978cb729a	272891	diagnostic-review/deep-audit/repair-manifests.review-only.json
c5176c06931a9e4f4ade994934680c70f44d8a753c67600617fb9dd0dc8c3c3a	1393549	diagnostic-review/deep-audit/stage1-physical-audit.json
b0c74d00118e11bfd60050e9fd5057bffa77e1038a513c43b361e5ab92452afb	5898797	diagnostic-review/definitions/03G906021QJ_1984_391847_P447_HAXN_EDC16U34_3.42/03G906021QJ_1984_391847_P447_HAXN_EDC16U34_3.42.HEX
2c5353ce0b84e6ecff83a0fee70cb3a315edd16f1d15c4cc03b037a84c578f46	6291472	diagnostic-review/definitions/03G906021QJ_1984_391847_P447_HAXN_EDC16U34_3.42/03G906021QJ_1984_391847_P447_HAXN_EDC16U34_3.42.S19
04ab636a3f564031cfc9ed0a4178d5e1c3795e6f37e42236c71eda786c16050a	12602543	diagnostic-review/definitions/03G906021QJ_1984_391847_P447_HAXN_EDC16U34_3.42/03G906021QJ_1984_391847_P447_HAXN_EDC16U34_3.42.a2l
9402e555649b635438e29d36e64513c90f26c9b7720bad6b04320233f6fd1ce3	2778913	diagnostic-review/definitions/03G906021QJ_1984_391847_P447_HAXN_EDC16U34_3.42/03G906021QJ_1984_391847_P447_HAXN_EDC16U34_3.42.sgm
8b0f9b9a89435d72d93960bf77b3e154342979c6ed070768eb11493ca67dd134	2097152	diagnostic-review/extracted/03G906021QJ (DPF EGR OFF) NoCS.Bin
333926e7ad790cf7ec0c0f11bc905a69b1df9b73f7cf7155c883fe5ab3045c54	65363	diagnostic-review/new-inputs/03G906021QJ (DPF EGR OFF) NoCS (1).rar
8b0f9b9a89435d72d93960bf77b3e154342979c6ed070768eb11493ca67dd134	2097152	diagnostic-review/new-inputs/off/03G906021QJ (DPF EGR OFF) NoCS.Bin
a1fc76a6ca961604999980733f89f13a77aa903af52b1ca43567be3dc76e5bc4	2097152	diagnostic-review/new-inputs/on/03G906021QJ.Bin
440998a1e373f25a1eb7cce8a060ab2ee64e4a9a1455adcbf07101867d75bd6e	3499721	diagnostic-review/reference-comparison.json
cf891152a97fb63609b40fc590fd86f38b034119b516e936eb8c0173e2551d26	2097152	diagnostic-review/reference-from-hex.analysis-only.bin
5c191d3078d056dbb4c24b1e8277bfcfd41ce077cc559098e9991c8879c719a7	19970	diagnostic-review/research-2026-09-10/forum-findings.md
0ac4530957e9573e4ccd4272aaf2cf3061632f6f0adebf6e59f5a24705b6ab71	26924	diagnostic-review/research-2026-09-10/ideal-stage1-research.md
86e324e278c864762190b7910686e1e5e3f66d605ce872977d71ca5de14bcf6b	19041	diagnostic-review/wot-20260914/REVIEW.md
10958d09f8dabd7a24057b4d2933ce4a7282e73a805d1493c5bacd90ecce9d06	62597	diagnostic-review/wot-20260914/evidence.json
32dba437f01db542dc587e130254755996bc8a84953e03a569a192efb2b00a5c	2097152	gdrive_downloads/VW_Golf___391847_DPF__EGR_chk_ok.bin
5d24284cc780b411983d6b8a8156d460eff4b08064b021b6759489d30c4663ed	2097152	gdrive_downloads/VW_Golf___391847__VOLKSWAGEN_BOSCH_EDC16U34_DPF_EGR_v2.bin
ed83d0368ad9b7adbd3616d90427086f56b192c9b09f715449954b7fb978c920	2097152	gdrive_downloads/VW_Golf___391847__VOLKSWAGEN_BOSCH_EDC16U34_DPF_EGR_v2_chk_OK.bin
439d20b050a081ab45d6e43698f0eb732abf9441c8e0613698c238ff6a4df2ee	278827	logs/VCDS_WOT_Log_20260914_114936.csv
be4d724fb5b3bd688f8a9fabaae5c3fce71859c6113fb5ee6552ffc22d66555e	12203	logs/VCDS_WOT_Log_20260914_122626.csv
ee8553e2a108acb745ad7734cd75d5710d75599825f66db13c8916398299da83	17747	logs/VCDS_WOT_Log_20260914_153242.csv
1354482c9f774335022c149297dfbd5587b429fe4fc408cf06df0e0d98237808	13158	mpps-usb-protocol-analysis-2026-09-11.md
ecb1a4ddbbacac1f0e4ce6e339cd16d48df1badabc94ee08a0d52241a6c4dac7	434480	mpps_capture.pcap
1c792a2756d493b9acfd38b960d2228bf6a1ac95ab7714af9750caa96ccd31d5	34972	mpps_dissected_traffic.txt
97f09c69544ff9148b796821811baf5cb1aa854c7987981d56cf102ef1a155ee	73	vh_sniff_traffic.log
b224ae55afa19cdcfc752bd0932e562f0b6dc603d78cb9ccccd7caec3823e9b2	1334	vhclient.log
