gear,rpm,map_mbar,air_mg_stroke,road_torque_p05,road_torque_p50,road_torque_p95,power_kw_p50,q_cmd_clamp_mg,q_smoke_mg,static_limiter_clamp,duration_ratio,lambda_cmd_p50,implied_q_p50,implied_lambda_p50,fuel_model_torque_p50,ecu_brake_model_nm,soi_hyp,duration_deg_hyp,elec_end_proxy
3,1500,,,,,,,56.5,56.5,smoke,1.079,,,,,280.2,12.91,26.46,13.55
3,1750,,,,,,,56.5,56.5,smoke,1.079,,,,,282.6,14.32,27.96,13.64
3,2000,2334.6,,,,,,56.5,56.5,smoke,1.079,,,,,283.6,15.96,30.04,14.08
3,2250,2352.5,986.7,180.3,214.1,247.0,50.4,56.5,56.5,smoke,1.079,1.198,41.3,1.704,304.4,282.4,17.25,31.17,13.92
3,2500,2328.4,983.7,230.5,273.1,338.4,71.5,56.5,56.5,smoke,1.079,1.196,52.8,1.328,304.6,280.3,18.87,32.69,13.82
3,2750,2369.7,969.4,270.3,306.9,345.6,88.4,62.0,62.1,torque_path,1.08,1.11,59.2,1.17,323.2,302.2,20.58,37.25,16.67
3,3000,2378.3,947.8,264.4,297.2,336.0,93.4,62.6,67.8,torque_path,1.079,1.181,57.3,1.178,295.5,299.8,22.24,39.16,16.92
3,3250,2302.1,913.0,232.3,262.3,293.1,89.3,63.2,67.8,torque_path,1.079,1.139,50.6,1.284,296.1,298.1,24.52,39.87,15.35
3,3500,2204.3,848.4,203.4,231.2,265.7,84.7,64.0,67.8,torque_path,1.08,1.059,44.6,1.357,296.6,296.3,25.9,40.65,14.75
3,3750,,,,,,,63.9,67.8,torque_path,1.079,,,,,286.6,27.53,41.35,13.82
3,4000,,,,,,,62.1,67.8,torque_path,1.079,,,,,270.1,29.16,42.14,12.98
4,1500,,,,,,,56.5,56.5,smoke,1.079,,,,,280.2,12.91,26.46,13.55
4,1750,2173.6,920.0,277.1,313.8,353.6,57.5,56.5,56.5,smoke,1.079,1.121,60.5,1.086,304.5,282.6,14.32,27.96,13.64
4,2000,2292.1,975.7,273.7,314.1,356.7,65.8,56.5,56.5,smoke,1.079,1.184,60.5,1.149,304.6,283.6,15.96,30.04,14.08
4,2250,2297.0,986.1,257.2,307.0,363.5,72.3,56.5,56.5,smoke,1.079,1.2,59.2,1.189,304.9,282.4,17.25,31.17,13.92
4,2500,2294.5,975.7,266.2,301.9,342.3,79.0,56.5,56.5,smoke,1.079,1.183,58.4,1.191,304.2,280.3,18.87,32.69,13.82
4,2750,2315.4,946.6,249.0,288.1,330.2,83.0,62.0,62.1,torque_path,1.08,1.082,55.7,1.211,323.1,302.2,20.58,37.25,16.67
4,3000,2201.8,906.0,218.2,251.6,288.2,79.0,62.6,67.8,torque_path,1.079,1.13,48.5,1.331,296.0,299.8,22.24,39.16,16.92
4,3250,2180.2,867.6,204.3,237.7,279.1,80.9,63.2,67.8,torque_path,1.079,1.084,46.0,1.345,296.1,298.1,24.52,39.87,15.35
4,3500,2163.5,845.6,200.1,231.8,271.8,85.0,64.0,67.8,torque_path,1.08,1.057,44.8,1.346,296.2,296.3,25.9,40.65,14.75
4,3750,2174.7,827.6,177.9,207.1,240.7,81.3,63.9,67.8,torque_path,1.079,1.034,40.0,1.477,295.7,286.6,27.53,41.35,13.82
4,4000,2167.4,811.9,155.7,182.6,212.2,76.5,62.1,67.8,torque_path,1.079,1.012,35.2,1.645,296.2,270.1,29.16,42.14,12.98
