timestamp_ms,rpm,map_mbar_abs,baro_mbar,boost_mbar,boost_bar,maf_g_s,speed_kmh,load_pct,latency_ms,raw_response
1789409343290,833,1030.0,1013.0,17.0,0.017,10.80,0,23.1,250,"410C0D04"
1789409343549,833,1030.0,1013.0,17.0,0.017,10.80,0,23.1,250,"410B67"
1789409343784,833,1030.0,1013.0,17.0,0.017,10.94,0,23.1,225,"41100446"
1789409344039,828,1030.0,1013.0,17.0,0.017,10.94,0,23.1,243,"410C0CF0"
1789409344284,828,1030.0,1013.0,17.0,0.017,10.94,0,23.1,225,"410B67"
1789409344525,828,1030.0,1013.0,17.0,0.017,10.94,0,23.1,225,"410D00"
1789409344780,818,1030.0,1013.0,17.0,0.017,10.94,0,23.1,233,"410C0CC8"
1789409345011,818,1040.0,1013.0,27.0,0.027,10.94,0,23.1,217,"410B68"
1789409345251,818,1040.0,1013.0,27.0,0.027,10.94,0,92.2,225,"4104EB"
1789409345505,1211,1040.0,1013.0,27.0,0.027,10.94,0,92.2,240,"410C12EC"
1789409345772,1211,1070.0,1013.0,57.0,0.057,10.94,0,92.2,250,"410B6B"
1789409346024,805,1070.0,1013.0,57.0,0.057,10.94,0,92.2,238,"410C0C94"
1789409346259,805,1070.0,1013.0,57.0,0.057,10.94,0,92.2,223,"410B6B"
1789409346494,805,1070.0,1013.0,57.0,0.057,15.27,0,92.2,221,"411005F7"
1789409346734,1043,1070.0,1013.0,57.0,0.057,15.27,0,92.2,228,"410C104C"
1789409346972,1043,1100.0,1013.0,87.0,0.087,15.27,0,92.2,228,"410B6E"
1789409347234,1043,1100.0,1013.0,87.0,0.087,15.27,9,92.2,250,"410D09"
1789409347504,1159,1100.0,1013.0,87.0,0.087,15.27,9,92.2,251,"410C121C"
1789409347764,1159,1130.0,1013.0,117.0,0.117,15.27,9,92.2,246,"410B71"
1789409347994,1159,1130.0,1013.0,117.0,0.117,15.27,9,38.4,217,"410462"
1789409348229,1324,1130.0,1013.0,117.0,0.117,15.27,9,38.4,219,"410C14B0"
1789409348459,1324,1160.0,1013.0,147.0,0.147,15.27,9,38.4,217,"410B74"
1789409348691,1389,1160.0,1013.0,147.0,0.147,15.27,9,38.4,215,"410C15B4"
1789409348919,1389,1170.0,1013.0,157.0,0.157,15.27,9,38.4,214,"410B75"
1789409349183,1389,1170.0,1013.0,157.0,0.157,14.97,9,38.4,250,"411005D9"
1789409349454,1032,1170.0,1013.0,157.0,0.157,14.97,9,38.4,250,"410C1020"
1789409349709,1032,1110.0,1013.0,97.0,0.097,14.97,9,38.4,243,"410B6F"
1789409349927,1032,1110.0,1013.0,97.0,0.097,14.97,12,38.4,204,"410D0C"
1789409350155,942,1110.0,1013.0,97.0,0.097,14.97,12,38.4,210,"410C0EB8"
1789409350371,942,1080.0,1013.0,67.0,0.067,14.97,12,38.4,202,"410B6C"
1789409350595,942,1080.0,1013.0,67.0,0.067,14.97,12,23.1,209,"41043B"
1789409350809,902,1080.0,1013.0,67.0,0.067,14.97,12,23.1,199,"410C0E18"
1789409351025,902,1060.0,1013.0,47.0,0.047,14.97,12,23.1,204,"410B6A"
1789409351288,903,1060.0,1013.0,47.0,0.047,14.97,12,23.1,251,"410C0E1C"
1789409351550,903,1050.0,1013.0,37.0,0.037,14.97,12,23.1,242,"410B69"
1789409351775,903,1050.0,1013.0,37.0,0.037,12.27,12,23.1,209,"411004CB"
1789409351995,900,1050.0,1013.0,37.0,0.037,12.27,12,23.1,208,"410C0E10"
1789409352205,900,1050.0,1013.0,37.0,0.037,12.27,12,23.1,198,"410B69"
