timestamp_ms,rpm,map_mbar_abs,baro_mbar,boost_mbar,boost_bar,maf_g_s,speed_kmh,load_pct,latency_ms,raw_response
1789409310504,836,1020.0,990.0,30.0,0.030,10.86,0,29.0,250,"4110043E"
1789409310731,837,1020.0,990.0,30.0,0.030,10.86,0,29.0,219,"410C0D14"
1789409310940,837,1030.0,990.0,40.0,0.040,10.86,0,29.0,203,"410B67"
1789409311163,837,1030.0,990.0,40.0,0.040,10.86,0,29.0,211,"410D00"
1789409311391,838,1030.0,990.0,40.0,0.040,10.86,0,29.0,214,"410C0D18"
1789409311604,838,1030.0,990.0,40.0,0.040,10.86,0,29.0,204,"410B67"
1789409311813,838,1030.0,990.0,40.0,0.040,10.86,0,26.7,199,"410444"
1789409312069,838,1030.0,990.0,40.0,0.040,10.86,0,26.7,250,""
1789409312325,838,1030.0,990.0,40.0,0.040,10.86,0,26.7,250,"410B67"
1789409312570,832,1030.0,990.0,40.0,0.040,10.86,0,26.7,229,"410C0D00"
1789409312796,832,1030.0,990.0,40.0,0.040,10.86,0,26.7,208,"410B67"
1789409313000,832,1030.0,990.0,40.0,0.040,10.83,0,26.7,193,"4110043B"
1789409313214,829,1030.0,990.0,40.0,0.040,10.83,0,26.7,202,"410C0CF4"
1789409313441,829,1030.0,990.0,40.0,0.040,10.83,0,26.7,213,"410B67"
1789409313666,829,1030.0,990.0,40.0,0.040,10.83,0,26.7,210,"410D00"
1789409313892,816,1030.0,990.0,40.0,0.040,10.83,0,26.7,208,"410C0CC0"
1789409314105,816,1030.0,990.0,40.0,0.040,10.83,0,26.7,208,"410B67"
1789409314360,816,1030.0,990.0,40.0,0.040,10.83,0,91.8,241,"4104EA"
1789409314579,1075,1030.0,990.0,40.0,0.040,10.83,0,91.8,212,"410C10CC"
1789409314789,1075,1050.0,990.0,60.0,0.060,10.83,0,91.8,204,"410B69"
