Timestamp_ms,RelativeTime_s,RPM,Boost_Specified_mbar,Boost_Actual_mbar,N75_Duty_pct,Driver_Wish_IQ_mg,Torque_Limit_IQ_mg,Smoke_Limit_IQ_mg,MAF_Actual_mg
1789380344486,0.149,819,1091,1040,80.1,0.0,0.0,0.0,0.00
1789380344715,0.378,819,1091,1040,80.1,0.0,0.0,0.0,0.00
1789380344957,0.620,819,1091,1040,80.1,0.0,0.0,0.0,0.00
1789380345174,0.837,819,1091,1040,80.1,0.0,0.0,0.0,0.00
1789380345379,1.042,819,1091,1040,80.1,0.0,0.0,0.0,0.00
1789380345587,1.250,819,1091,1040,80.1,0.0,0.0,0.0,0.00
1789380345958,1.621,819,1091,1040,80.1,0.0,0.0,0.0,0.00
1789380346196,1.859,819,1091,1040,80.1,0.0,0.0,0.0,0.00
1789380346433,2.096,819,1091,1040,80.1,0.0,0.0,0.0,0.00
1789380346665,2.328,819,1091,1040,80.1,0.0,0.0,0.0,0.00
1789380346895,2.558,819,1091,1040,80.1,0.0,0.0,0.0,0.00
1789380347143,2.806,819,1091,1040,80.1,0.0,0.0,0.0,0.00
1789380347515,3.178,777,1091,1040,80.1,0.0,0.0,0.0,0.00
1789380347757,3.420,777,1102,1051,80.1,0.0,0.0,0.0,0.00
1789380347999,3.662,756,1102,1051,80.1,0.0,0.0,0.0,0.00
1789380348223,3.886,777,1112,1051,80.1,0.0,0.0,0.0,0.00
1789380348459,4.122,777,1102,1051,80.1,0.0,0.0,0.0,0.00
1789380351895,7.558,945,1397,1081,77.7,0.0,0.0,0.0,0.00
1789380352125,7.788,861,1397,1081,79.3,0.0,0.0,0.0,0.00
1789380352390,8.053,903,1091,1091,80.1,0.0,0.0,0.0,0.00
1789380352626,8.289,987,1397,1091,76.9,0.0,0.0,0.0,0.00
1789380352869,8.532,924,1091,1102,80.1,0.0,0.0,0.0,0.00
1789380353204,8.867,861,1091,1102,80.1,0.0,0.0,0.0,0.00
1789380353449,9.112,819,1091,1081,80.1,0.0,0.0,0.0,0.00
1789380353676,9.339,735,1102,1071,80.1,0.0,0.0,0.0,0.00
1789380353915,9.578,840,1102,1071,80.1,0.0,0.0,0.0,0.00
1789380354197,9.860,945,1091,1071,80.1,0.0,0.0,0.0,0.00
1789380354423,10.086,903,1091,1071,80.1,0.0,0.0,0.0,0.00
1789380354643,10.306,882,1091,1061,80.1,0.0,0.0,0.0,0.00
1789380354983,10.646,882,1091,1061,80.1,0.0,0.0,0.0,0.00
1789380355243,10.906,882,1091,1061,80.1,0.0,0.0,0.0,0.00
1789380355499,11.162,882,1091,1061,80.1,0.0,0.0,0.0,0.00
1789380355747,11.410,903,1091,1061,80.1,0.0,0.0,0.0,0.00
1789380355959,11.622,882,1091,1061,80.1,0.0,0.0,0.0,0.00
1789380356198,11.861,861,1091,1061,80.1,0.0,0.0,0.0,0.00
1789380356448,12.111,819,1091,1061,80.1,0.0,0.0,0.0,0.00
1789380356691,12.354,798,1091,1061,80.1,0.0,0.0,0.0,0.00
1789380357049,12.712,798,1091,1051,80.1,0.0,0.0,0.0,0.00
1789380357292,12.955,819,1091,1051,80.1,0.0,0.0,0.0,0.00
1789380357540,13.203,819,1091,1051,80.1,0.0,0.0,0.0,0.00
