hWnd: 68318 Class: DirectUIHWND Vis: True Rect: [587,376-949,463] Text: ''
hWnd: 68320 Class: CtrlNotifySink Vis: False Rect: [587,376-587,376] Text: ''
hWnd: 68322 Class: ScrollBar Vis: False Rect: [587,376-587,376] Text: ''
hWnd: 68324 Class: CtrlNotifySink Vis: False Rect: [587,376-587,376] Text: ''
hWnd: 68326 Class: ScrollBar Vis: False Rect: [587,376-587,376] Text: ''
hWnd: 68328 Class: CtrlNotifySink Vis: False Rect: [598,391-598,391] Text: ''
hWnd: 68330 Class: ScrollBar Vis: False Rect: [598,391-598,391] Text: ''
hWnd: 68332 Class: CtrlNotifySink Vis: False Rect: [598,391-598,391] Text: ''
hWnd: 68334 Class: ScrollBar Vis: False Rect: [598,391-598,391] Text: ''
hWnd: 68336 Class: CtrlNotifySink Vis: False Rect: [598,391-598,391] Text: ''
hWnd: 68338 Class: SysLink Vis: False Rect: [598,391-598,391] Text: ''
hWnd: 68340 Class: CtrlNotifySink Vis: False Rect: [598,402-598,402] Text: ''
hWnd: 68342 Class: SysLink Vis: False Rect: [598,402-598,402] Text: ''
hWnd: 68344 Class: CtrlNotifySink Vis: True Rect: [869,431-939,454] Text: ''
hWnd: 68346 Class: Button Vis: True Rect: [869,431-939,454] Text: 'OK'
